date,lead,model,rmse,mae,iiee,aee,me,me_iiee_ratio
2022-01-15,1,LSTM,0.060077689588069916,0.02375430054962635,65000.0,3750.0,61250.0,0.9423076923076923
2022-01-16,1,LSTM,0.05664479359984398,0.021925529465079308,58125.0,19375.0,38750.0,0.6666666666666666
2022-01-19,1,LSTM,0.054073624312877655,0.018943317234516144,50625.0,24375.0,26250.0,0.5185185185185185
2022-01-20,1,LSTM,0.0499122329056263,0.018323864787817,46875.0,16875.0,30000.0,0.64
2022-01-25,1,LSTM,0.08577863872051239,0.036319293081760406,77500.0,15000.0,62500.0,0.8064516129032258
2022-01-26,1,LSTM,0.07877492904663086,0.03465418890118599,53750.0,25000.0,28750.0,0.5348837209302325
2022-01-30,1,LSTM,0.056845154613256454,0.022748131304979324,65625.0,30625.0,35000.0,0.5333333333333333
2022-01-31,1,LSTM,0.04438038542866707,0.01767665147781372,36875.0,4375.0,32500.0,0.8813559322033898
2022-02-01,1,LSTM,0.05687316507101059,0.0211174339056015,57500.0,11250.0,46250.0,0.8043478260869565
2022-02-04,1,LSTM,0.052827704697847366,0.020740656182169914,58750.0,10000.0,48750.0,0.8297872340425532
2022-02-11,1,LSTM,0.05064535140991211,0.02061530388891697,58750.0,20000.0,38750.0,0.6595744680851063
2022-02-22,1,LSTM,0.059675078839063644,0.02493886649608612,50625.0,9375.0,41250.0,0.8148148148148148
2022-02-26,1,LSTM,0.0643211379647255,0.024398453533649445,74375.0,6875.0,67500.0,0.907563025210084
2022-02-27,1,LSTM,0.0684794932603836,0.026071015745401382,71250.0,8750.0,62500.0,0.8771929824561403
2022-02-28,1,LSTM,0.048357296735048294,0.01724742352962494,46250.0,7500.0,38750.0,0.8378378378378378
2022-03-01,1,LSTM,0.04197116568684578,0.017786193639039993,45625.0,10625.0,35000.0,0.7671232876712328
2022-03-02,1,LSTM,0.05877816677093506,0.021379778161644936,68750.0,20000.0,48750.0,0.7090909090909091
2022-03-03,1,LSTM,0.054278936237096786,0.019480567425489426,56875.0,28125.0,28750.0,0.5054945054945055
2022-03-05,1,LSTM,0.03342306986451149,0.014018772169947624,33125.0,15625.0,17500.0,0.5283018867924528
2022-03-06,1,LSTM,0.04599309712648392,0.017899682745337486,42500.0,7500.0,35000.0,0.8235294117647058
2022-03-07,1,LSTM,0.03590491786599159,0.015235458500683308,34375.0,6875.0,27500.0,0.8
2022-03-12,1,LSTM,0.0722726508975029,0.026721816509962082,73125.0,3125.0,70000.0,0.9572649572649573
2022-03-18,1,LSTM,0.060108013451099396,0.024510124698281288,56250.0,1250.0,55000.0,0.9777777777777777
2022-03-21,1,LSTM,0.04838408902287483,0.020123964175581932,47500.0,1250.0,46250.0,0.9736842105263158
2022-03-22,1,LSTM,0.07243956625461578,0.029010970145463943,75625.0,625.0,75000.0,0.9917355371900827
2022-03-27,1,LSTM,0.05290456488728523,0.02009536139667034,64375.0,25625.0,38750.0,0.6019417475728155
2022-03-28,1,LSTM,0.052661482244729996,0.021234815940260887,56250.0,2500.0,53750.0,0.9555555555555556
2022-03-29,1,LSTM,0.04610750451683998,0.020182620733976364,50000.0,7500.0,42500.0,0.85
